accession,label,subclass,neg_family,name,source,structure_source,confidence_score,source_filename,original_structure_path
A8ABB4,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A8ABB4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A8ABB4.pdb
A8YV16,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A8YV16.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A8YV16.pdb
A9A3X2,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A9A3X2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A9A3X2.pdb
A9VG79,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A9VG79.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A9VG79.pdb
B0CE23,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B0CE23.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B0CE23.pdb
B0JGG3,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B0JGG3.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B0JGG3.pdb
B0R7E2,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B0R7E2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B0R7E2.pdb
B1MZQ4,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B1MZQ4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B1MZQ4.pdb
B1WQW1,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B1WQW1.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B1WQW1.pdb
B1XN66,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B1XN66.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B1XN66.pdb
B1YLU8,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B1YLU8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B1YLU8.pdb
B2G6S0,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B2G6S0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B2G6S0.pdb
B2GBD1,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B2GBD1.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B2GBD1.pdb
B2J3C7,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B2J3C7.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B2J3C7.pdb
B4U3M1,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B4U3M1.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B4U3M1.pdb
B6YT50,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B6YT50.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B6YT50.pdb
B7GHJ4,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B7GHJ4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B7GHJ4.pdb
B7HB12,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B7HB12.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B7HB12.pdb
B7HNQ7,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B7HNQ7.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B7HNQ7.pdb
B7IWQ5,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B7IWQ5.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B7IWQ5.pdb
B7JLZ5,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B7JLZ5.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B7JLZ5.pdb
B7K1N1,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B7K1N1.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B7K1N1.pdb
B7K762,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B7K762.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B7K762.pdb
B8HP81,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B8HP81.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B8HP81.pdb
B9IXD7,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B9IXD7.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B9IXD7.pdb
B9LQT0,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,B9LQT0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/B9LQT0.pdb
C0MAM9,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,C0MAM9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/C0MAM9.pdb
C0MDJ9,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,C0MDJ9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/C0MDJ9.pdb
C0ZBP8,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,C0ZBP8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/C0ZBP8.pdb
C1AAD9,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,C1AAD9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/C1AAD9.pdb
C1ER14,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,C1ER14.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/C1ER14.pdb
C1KWS1,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,C1KWS1.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/C1KWS1.pdb
C3LJR8,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,C3LJR8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/C3LJR8.pdb
C3P7S4,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,C3P7S4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/C3P7S4.pdb
C5A5S2,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,C5A5S2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/C5A5S2.pdb
C5D428,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,C5D428.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/C5D428.pdb
C6A2P3,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,C6A2P3.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/C6A2P3.pdb
O07896,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,O07896.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/O07896.pdb
O27859,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,O27859.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/O27859.pdb
O29323,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,O29323.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/O29323.pdb
O51696,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,O51696.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/O51696.pdb
O58883,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,O58883.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/O58883.pdb
O84350,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,O84350.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/O84350.pdb
P60193,hard_negative,,rnase_z,Nuclear ribonuclease Z (RNase Z) (EC 3.1.26.11) (Zinc phosphodiesterase ELAC) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,P60193.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/P60193.pdb
P9WGZ4,hard_negative,,rnase_z,Putative ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,P9WGZ4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/P9WGZ4.pdb
P9WGZ5,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,P9WGZ5.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/P9WGZ5.pdb
Q03QP5,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q03QP5.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q03QP5.pdb
Q03W55,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q03W55.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q03W55.pdb
Q0SMA2,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q0SMA2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q0SMA2.pdb
Q118J2,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q118J2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q118J2.pdb
Q1DEJ2,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q1DEJ2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q1DEJ2.pdb
Q29RY4,hard_negative,,rnase_z,Zinc phosphodiesterase ELAC protein 1 (EC 3.1.26.11) (ElaC homolog protein 1) (Ribonuclease Z 1) (RNase Z 1) (tRNA 3 endonuclease 1) (tRNase Z 1),UniProt,afdb,,Q29RY4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q29RY4.pdb
Q3AHP8,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q3AHP8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q3AHP8.pdb
Q3AZH7,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q3AZH7.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q3AZH7.pdb
Q3IRM5,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q3IRM5.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q3IRM5.pdb
Q46JB7,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q46JB7.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q46JB7.pdb
Q49744,hard_negative,,rnase_z,Putative ribonuclease Z (RNase Z) (tRNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease),UniProt,afdb,,Q49744.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q49744.pdb
Q55132,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q55132.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q55132.pdb
Q58897,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q58897.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q58897.pdb
Q5JE70,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q5JE70.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q5JE70.pdb
Q5KXG8,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q5KXG8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q5KXG8.pdb
Q5UZJ9,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q5UZJ9.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q5UZJ9.pdb
Q5WGC3,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q5WGC3.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q5WGC3.pdb
Q5YQ00,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q5YQ00.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q5YQ00.pdb
Q635E2,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q635E2.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q635E2.pdb
Q65HN6,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q65HN6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q65HN6.pdb
Q6HE20,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q6HE20.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q6HE20.pdb
Q6KZJ4,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q6KZJ4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q6KZJ4.pdb
Q6ME16,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q6ME16.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q6ME16.pdb
Q71Y44,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q71Y44.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q71Y44.pdb
Q731F6,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q731F6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q731F6.pdb
Q73LB4,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q73LB4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q73LB4.pdb
Q7NDW3,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q7NDW3.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q7NDW3.pdb
Q818V3,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q818V3.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q818V3.pdb
Q81M88,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q81M88.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q81M88.pdb
Q89NF8,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q89NF8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q89NF8.pdb
Q8HY87,hard_negative,,rnase_z,Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2),UniProt,afdb,,Q8HY87.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q8HY87.pdb
Q8Q032,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q8Q032.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q8Q032.pdb
Q8TLK5,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q8TLK5.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q8TLK5.pdb
Q8TWK0,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q8TWK0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q8TWK0.pdb
Q8U182,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q8U182.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q8U182.pdb
Q8Y5S8,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q8Y5S8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q8Y5S8.pdb
Q8YLZ0,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q8YLZ0.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q8YLZ0.pdb
Q8ZTJ7,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q8ZTJ7.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q8ZTJ7.pdb
Q92A38,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q92A38.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q92A38.pdb
Q97IQ6,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q97IQ6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q97IQ6.pdb
Q9CHT8,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q9CHT8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q9CHT8.pdb
Q9HJ19,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q9HJ19.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q9HJ19.pdb
Q9HN60,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q9HN60.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q9HN60.pdb
Q9KC61,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q9KC61.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q9KC61.pdb
Q9RDE4,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q9RDE4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q9RDE4.pdb
Q9UZP4,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q9UZP4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q9UZP4.pdb
Q9Z9F6,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,Q9Z9F6.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/Q9Z9F6.pdb
A0QDL1,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A0QDL1.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A0QDL1.pdb
A1KL99,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A1KL99.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A1KL99.pdb
A1RRK1,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A1RRK1.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A1RRK1.pdb
A1UIW4,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A1UIW4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A1UIW4.pdb
A3MV61,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A3MV61.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A3MV61.pdb
A3Q2B8,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A3Q2B8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A3Q2B8.pdb
A4T2G4,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A4T2G4.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A4T2G4.pdb
A4WKM8,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A4WKM8.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A4WKM8.pdb
A4YHP1,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A4YHP1.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A4YHP1.pdb
A4YN80,hard_negative,,rnase_z,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),UniProt,afdb,,A4YN80.pdb,/home/moraz/projects/MBL/cryptic-mbl/dataset/data/structures/A4YN80.pdb
